id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
CZ13L017,Bechlín,Bechlin,bechlin-cz13l017,CZ13L017,50.416,14.341
CZ13L004,Bílina Kyselka,Bilina Kyselka,bilina-kyselka-cz13l004,CZ13L004,50.55,13.767
CZ13L024,Brezno,Brezno,brezno-cz13l024,CZ13L024,50.402,13.421
CZ13L023,Budyne nad Ohri,Budyne nad Ohri,budyne-nad-ohri-cz13l023,CZ13L023,50.404,14.126
CZ13L007,Hoštka,Hostka,hostka-cz13l007,CZ13L007,50.489,14.335
CZ13L015,Jiříkov,Jirikov,jirikov-cz13l015,CZ13L015,50.995,14.569
CZ13L016,Krásná Lípa,Krasna Lipa,krasna-lipa-cz13l016,CZ13L016,50.484,13.358
CZ13L013,Křešice,Kresice,kresice-cz13l013,CZ13L013,50.523,14.215
CZ13L018,Liběšice,Libesice,libesice-cz13l018,CZ13L018,50.569,14.289
CZ13L021,Lom u Mostu,Lom u Mostu,lom-u-mostu-cz13l021,CZ13L021,50.593,13.657
CZ13L019,Měcholupy,Mecholupy,mecholupy-cz13l019,CZ13L019,50.267,13.537
CZ13L020,Perštejn,Perstejn,perstejn-cz13l020,CZ13L020,50.382,13.11
CZ13L011,Peruc,Peruc,peruc-cz13l011,CZ13L011,50.343,13.96
CZ13L014,Polepy,Polepy,polepy-cz13l014,CZ13L014,50.506,14.264
CZ13L003,Radonice,Radonice,radonice-cz13l003,CZ13L003,50.298,13.285
CZ13L009,Řehlovice,Rehlovice,rehlovice-cz13l009,CZ13L009,50.607,13.954
CZ13L001,Staré Křečany,Stare Krečany,stare-krecany-cz13l001,CZ13L001,50.95,14.496
CZ13L002,Údlice,Udlice,udlice-cz13l002,CZ13L002,50.441,13.457
CZ13L006,Úštěk,Ustek,ustek-cz13l006,CZ13L006,50.585,14.343
CZ13L005,Velemín,Velemin,velemin-cz13l005,CZ13L005,50.539,13.977
CZ13L012,Vernerice,Vernerice,vernerice-cz13l012,CZ13L012,50.661,14.301
CZ13L022,Vilémov,Vilemov,vilemov-cz13l022,CZ13L022,50.991,14.335
CZ13L010,Zabrušany,Zabrusany,zabrusany-cz13l010,CZ13L010,50.605,13.787
CZ13L008,Žitenice,Zitenice,zitenice-cz13l008,CZ13L008,50.555,14.157
